,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,BCP2,6/05/2020 02:17,06/05/2020 04:17,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 02:00:00,7200
1,BCP2,6/05/2020 02:17,06/05/2020 04:17,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 02:00:00,7200
2,BCP2,6/05/2020 02:17,06/05/2020 04:17,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 02:00:00,7200
0,BCP3,2/05/2020 01:26,02/05/2020 03:26,Accidental,Normal,No establecido.,Las Carmelitas,0 days 02:00:00,7200
1,BCP3,2/05/2020 01:26,02/05/2020 03:26,Accidental,Normal,No establecido.,Villa Morra,0 days 02:00:00,7200
2,BCP3,2/05/2020 01:26,02/05/2020 03:26,Accidental,Normal,No establecido.,Manorá,0 days 02:00:00,7200
0,BMO2,22/05/2020 16:57,22/05/2020 18:08,Accidental,Adverso,Descargador MT averiado. Nanawa c/ Cnel. Martínez.,Itay,0 days 01:11:00,4260
0,BPA10,3/05/2020 03:30,3/05/2020 04:15,Accidental,Normal,Transformador averiado. Andrade c/ ConsejalVargas.,Luis Alberto de Herrera,0 days 00:45:00,2700
1,BPA10,3/05/2020 03:30,3/05/2020 04:15,Accidental,Normal,Transformador averiado. Andrade c/ ConsejalVargas.,San Cristóbal,0 days 00:45:00,2700
2,BPA10,3/05/2020 03:30,3/05/2020 04:15,Accidental,Normal,Transformador averiado. Andrade c/ ConsejalVargas.,Santa María,0 days 00:45:00,2700
0,BPA10,12/05/2020 03:17,12/05/2020 03:52,Producción,Normal,Incendio en equipos de LT-PSA/220kV en la ES-GUA.,Luis Alberto de Herrera,0 days 00:35:00,2100
1,BPA10,12/05/2020 03:17,12/05/2020 03:52,Producción,Normal,Incendio en equipos de LT-PSA/220kV en la ES-GUA.,San Cristóbal,0 days 00:35:00,2100
2,BPA10,12/05/2020 03:17,12/05/2020 03:52,Producción,Normal,Incendio en equipos de LT-PSA/220kV en la ES-GUA.,Santa María,0 days 00:35:00,2100
0,BPA12,12/05/2020 03:17,12/05/2020 03:52,Producción,Normal,Incendio en equipos de LT-PSA/220kV en la ES-GUA.,Salvador del Mundo,0 days 00:35:00,2100
1,BPA12,12/05/2020 03:17,12/05/2020 03:52,Producción,Normal,Incendio en equipos de LT-PSA/220kV en la ES-GUA.,San Cristóbal,0 days 00:35:00,2100
2,BPA12,12/05/2020 03:17,12/05/2020 03:52,Producción,Normal,Incendio en equipos de LT-PSA/220kV en la ES-GUA.,San Jorge,0 days 00:35:00,2100
0,BPA4,30/05/2020 23:36,30/05/2020 23:38,Programado,Normal,"Abierto Interruptor, para efectuar maniobras decanalización.",Luis Alberto de Herrera,0 days 00:02:00,120
1,BPA4,30/05/2020 23:36,30/05/2020 23:38,Programado,Normal,"Abierto Interruptor, para efectuar maniobras decanalización.",San Cristóbal,0 days 00:02:00,120
2,BPA4,30/05/2020 23:36,30/05/2020 23:38,Programado,Normal,"Abierto Interruptor, para efectuar maniobras decanalización.",Santa María,0 days 00:02:00,120
0,BPA5,1/05/2020 23:40,02/05/2020 01:40,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
1,BPA5,1/05/2020 23:40,02/05/2020 01:40,Accidental,Normal,No establecido.,Recoleta,0 days 02:00:00,7200
0,BPA5,2/05/2020 14:35,02/05/2020 16:35,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
1,BPA5,2/05/2020 14:35,02/05/2020 16:35,Accidental,Normal,No establecido.,Recoleta,0 days 02:00:00,7200
0,BPA5,12/05/2020 07:57,12/05/2020 09:57,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
1,BPA5,12/05/2020 07:57,12/05/2020 09:57,Accidental,Normal,No establecido.,Recoleta,0 days 02:00:00,7200
0,BPA5,12/05/2020 07:59,12/05/2020 09:59,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
1,BPA5,12/05/2020 07:59,12/05/2020 09:59,Accidental,Normal,No establecido.,Recoleta,0 days 02:00:00,7200
0,BPA5,12/05/2020 08:01,12/05/2020 08:35,Accidental,Normal,No establecido.,San Cristóbal,0 days 00:34:00,2040
1,BPA5,12/05/2020 08:01,12/05/2020 08:35,Accidental,Normal,No establecido.,Recoleta,0 days 00:34:00,2040
0,BPA5,12/05/2020 09:05,12/05/2020 10:12,Accidental,Normal,"Ramas sobre línea, en Belgica y Andrade.",San Cristóbal,0 days 01:07:00,4020
1,BPA5,12/05/2020 09:05,12/05/2020 10:12,Accidental,Normal,"Ramas sobre línea, en Belgica y Andrade.",Recoleta,0 days 01:07:00,4020
0,BPA7,19/05/2020 11:35,19/05/2020 12:36,Accidental,Normal,"Puente MT suelto, llegada a PD BP1788. Sucre c/Bélgica.",San Cristóbal,0 days 01:01:00,3660
1,BPA7,19/05/2020 11:35,19/05/2020 12:36,Accidental,Normal,"Puente MT suelto, llegada a PD BP1788. Sucre c/Bélgica.",Villa Morra,0 days 01:01:00,3660
2,BPA7,19/05/2020 11:35,19/05/2020 12:36,Accidental,Normal,"Puente MT suelto, llegada a PD BP1788. Sucre c/Bélgica.",Ykua Sati,0 days 01:01:00,3660
0,BPA8,6/05/2020 01:42,6/05/2020 02:28,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra,0 days 00:46:00,2760
0,BPA8,6/05/2020 02:52,6/05/2020 02:54,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra,0 days 00:02:00,120
0,BPA8,6/05/2020 03:34,6/05/2020 03:36,Accidental,Adverso,Línea MT averiada.,Villa Morra,0 days 00:02:00,120
