,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,BCP2,6/11/2020 12:14,06/11/2020 14:14,Accidental,Normal,No establecido.,Bella Vista,0 days 02:00:00,7200
1,BCP2,6/11/2020 12:14,06/11/2020 14:14,Accidental,Normal,No establecido.,Santo Domingo,0 days 02:00:00,7200
2,BCP2,6/11/2020 12:14,06/11/2020 14:14,Accidental,Normal,No establecido.,Manorá,0 days 02:00:00,7200
0,BCP2,6/11/2020 12:19,6/11/2020 12:23,Programado,Normal,Abierto Interruptor. Para efectuar maniobras.,Bella Vista,0 days 00:04:00,240
1,BCP2,6/11/2020 12:19,6/11/2020 12:23,Programado,Normal,Abierto Interruptor. Para efectuar maniobras.,Santo Domingo,0 days 00:04:00,240
2,BCP2,6/11/2020 12:19,6/11/2020 12:23,Programado,Normal,Abierto Interruptor. Para efectuar maniobras.,Manorá,0 days 00:04:00,240
0,BCP2,14/11/2020 20:53,15/11/2020 02:17,Accidental,Adverso,Ramas sobre Línea MT. Agustin Barrios y RoaBastos.,Bella Vista,0 days 05:24:00,19440
1,BCP2,14/11/2020 20:53,15/11/2020 02:17,Accidental,Adverso,Ramas sobre Línea MT. Agustin Barrios y RoaBastos.,Santo Domingo,0 days 05:24:00,19440
2,BCP2,14/11/2020 20:53,15/11/2020 02:17,Accidental,Adverso,Ramas sobre Línea MT. Agustin Barrios y RoaBastos.,Manorá,0 days 05:24:00,19440
0,BCP2,15/11/2020 09:06,15/11/2020 13:07,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 04:01:00,14460
1,BCP2,15/11/2020 09:06,15/11/2020 13:07,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 04:01:00,14460
2,BCP2,15/11/2020 09:06,15/11/2020 13:07,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 04:01:00,14460
0,BCP2,15/11/2020 13:54,15/11/2020 13:57,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,Bella Vista,0 days 00:03:00,180
1,BCP2,15/11/2020 13:54,15/11/2020 13:57,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,Santo Domingo,0 days 00:03:00,180
2,BCP2,15/11/2020 13:54,15/11/2020 13:57,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,Manorá,0 days 00:03:00,180
0,BCP2,15/11/2020 14:55,15/11/2020 14:59,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,Bella Vista,0 days 00:04:00,240
1,BCP2,15/11/2020 14:55,15/11/2020 14:59,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,Santo Domingo,0 days 00:04:00,240
2,BCP2,15/11/2020 14:55,15/11/2020 14:59,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,Manorá,0 days 00:04:00,240
0,BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Al efectuar maniobras. En servicio parcial. 16:06hsen servicio total.,Bella Vista,0 days 00:21:00,1260
1,BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Al efectuar maniobras. En servicio parcial. 16:06hsen servicio total.,Santo Domingo,0 days 00:21:00,1260
2,BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Al efectuar maniobras. En servicio parcial. 16:06hsen servicio total.,Manorá,0 days 00:21:00,1260
0,BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 00:21:00,1260
1,BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 00:21:00,1260
2,BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 00:21:00,1260
0,BCP2,15/11/2020 21:07,15/11/2020 21:34,Accidental,Adverso,Abierto interruptor para reparación de SFT averiadoen forma directa. En Roa Bastos y Capitán Miranda ;y en del Carmen y Ordriozola.,Bella Vista,0 days 00:27:00,1620
1,BCP2,15/11/2020 21:07,15/11/2020 21:34,Accidental,Adverso,Abierto interruptor para reparación de SFT averiadoen forma directa. En Roa Bastos y Capitán Miranda ;y en del Carmen y Ordriozola.,Santo Domingo,0 days 00:27:00,1620
2,BCP2,15/11/2020 21:07,15/11/2020 21:34,Accidental,Adverso,Abierto interruptor para reparación de SFT averiadoen forma directa. En Roa Bastos y Capitán Miranda ;y en del Carmen y Ordriozola.,Manorá,0 days 00:27:00,1620
0,BCP2,26/11/2020 10:34,26/11/2020 11:32,Accidental,Adverso,Condiciones Climáticas Adversas.,Bella Vista,0 days 00:58:00,3480
1,BCP2,26/11/2020 10:34,26/11/2020 11:32,Accidental,Adverso,Condiciones Climáticas Adversas.,Santo Domingo,0 days 00:58:00,3480
2,BCP2,26/11/2020 10:34,26/11/2020 11:32,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 00:58:00,3480
0,BCP3,8/11/2020 09:03,8/11/2020 10:08,Accidental,Normal,Afectado por el Puente MT Suelto del BPA12. Dobleterna.,Las Carmelitas,0 days 01:05:00,3900
1,BCP3,8/11/2020 09:03,8/11/2020 10:08,Accidental,Normal,Afectado por el Puente MT Suelto del BPA12. Dobleterna.,Villa Morra,0 days 01:05:00,3900
2,BCP3,8/11/2020 09:03,8/11/2020 10:08,Accidental,Normal,Afectado por el Puente MT Suelto del BPA12. Dobleterna.,Manorá,0 days 01:05:00,3900
0,BCP3,14/11/2020 21:29,14/11/2020 22:51,Accidental,Adverso,Condiciones Climaticas Adversas,Las Carmelitas,0 days 01:22:00,4920
1,BCP3,14/11/2020 21:29,14/11/2020 22:51,Accidental,Adverso,Condiciones Climaticas Adversas,Villa Morra,0 days 01:22:00,4920
2,BCP3,14/11/2020 21:29,14/11/2020 22:51,Accidental,Adverso,Condiciones Climaticas Adversas,Manorá,0 days 01:22:00,4920
0,BCP3,14/11/2020 23:15,14/11/2020 23:51,Accidental,Adverso,Condiciones Climaticas Adversas,Las Carmelitas,0 days 00:36:00,2160
1,BCP3,14/11/2020 23:15,14/11/2020 23:51,Accidental,Adverso,Condiciones Climaticas Adversas,Villa Morra,0 days 00:36:00,2160
2,BCP3,14/11/2020 23:15,14/11/2020 23:51,Accidental,Adverso,Condiciones Climaticas Adversas,Manorá,0 days 00:36:00,2160
0,BMO1,7/11/2020 09:06,07/11/2020 11:06,Accidental,Normal,No establecido.,Itay,0 days 02:00:00,7200
1,BMO1,7/11/2020 09:06,07/11/2020 11:06,Accidental,Normal,No establecido.,San Jorge,0 days 02:00:00,7200
0,BMO1,9/11/2020 14:06,9/11/2020 14:48,Accidental,Normal,Pájaro en contacto con línea MT F2.,Itay,0 days 00:42:00,2520
1,BMO1,9/11/2020 14:06,9/11/2020 14:48,Accidental,Normal,Pájaro en contacto con línea MT F2.,San Jorge,0 days 00:42:00,2520
0,BMO1,11/11/2020 06:55,11/11/2020 08:10,Accidental,Normal,Línea MT suelta F1. En Adan Caballero y 12 deJunio.,Itay,0 days 01:15:00,4500
1,BMO1,11/11/2020 06:55,11/11/2020 08:10,Accidental,Normal,Línea MT suelta F1. En Adan Caballero y 12 deJunio.,San Jorge,0 days 01:15:00,4500
0,BMO1,12/11/2020 23:39,12/11/2020 23:47,Accidental,Normal,Abierto interruptor para reparar puente MT suelto. EnTuyuti y Gral Aquino.,Itay,0 days 00:08:00,480
1,BMO1,12/11/2020 23:39,12/11/2020 23:47,Accidental,Normal,Abierto interruptor para reparar puente MT suelto. EnTuyuti y Gral Aquino.,San Jorge,0 days 00:08:00,480
0,BMO1,14/11/2020 21:03,15/11/2020 05:18,Accidental,Adverso,Condiciones Climáticas Adversas. En servicioParcial.,Itay,0 days 08:15:00,29700
1,BMO1,14/11/2020 21:03,15/11/2020 05:18,Accidental,Adverso,Condiciones Climáticas Adversas. En servicioParcial.,San Jorge,0 days 08:15:00,29700
0,BMO1,15/11/2020 19:31,15/11/2020 19:40,Accidental,Adverso,Abierto interruptor para reparación de SFT averiado.Caballero y Rojas.,Itay,0 days 00:09:00,540
1,BMO1,15/11/2020 19:31,15/11/2020 19:40,Accidental,Adverso,Abierto interruptor para reparación de SFT averiado.Caballero y Rojas.,San Jorge,0 days 00:09:00,540
0,BMO1,26/11/2020 06:25,26/11/2020 12:31,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 06:06:00,21960
1,BMO1,26/11/2020 06:25,26/11/2020 12:31,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 06:06:00,21960
0,BMO2,10/11/2020 12:25,10/11/2020 13:20,Accidental,Normal,No establecido.,Itay,0 days 00:55:00,3300
0,BMO2,14/11/2020 20:57,14/11/2020 23:35,Accidental,Adverso,Condiciones Climaticas Adversas,Itay,0 days 02:38:00,9480
0,BPA10,14/11/2020 20:57,14/11/2020 22:57,Accidental,Adverso,Condiciones Climaticas Adversas,Luis Alberto de Herrera,0 days 02:00:00,7200
1,BPA10,14/11/2020 20:57,14/11/2020 22:57,Accidental,Adverso,Condiciones Climaticas Adversas,San Cristóbal,0 days 02:00:00,7200
